Saída TERMINAL;TRAJETO;Veículos
;;
05:25;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
06:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
07:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
08:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
09:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
10:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
11:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
12:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
13:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
14:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
15:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
15:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
16:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
16:40;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
17:10;PORTARIA LEVE + MUSEU PELE + ALFANDEGA_ SOMENTE SEXTA-FEIRA;Ônibus
17:10;PORTARIA LEVE + ARMAZEM + MUSEU PELE + ALFANDEGA_ SOMENTE SEXTA-FEIRA;Micro-Ônibus
17:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
17:40;PORTARIA LEVE + MUSEU PELE + ALFANDEGA_ DE SEGUNDA A QUINTA;Ônibus
17:40;PORTARIA LEVE + ARMAZEM + MUSEU PELE + ALFANDEGA_ DE SEGUNDA A QUINTA;Ônibus
18:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
19:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
20:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
21:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
22:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
23:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
23:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
00:30;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
01:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:00;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:20;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:30;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
04:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
04:30;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
;;
Saída MUSEU Pelé;TRAJETO;Veículos
;;
05:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
06:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
06:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
06:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
06:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
07:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
07:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
07:40;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
07:50;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
08:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
09:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
10:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
11:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
12:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
12:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
12:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
12:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
13:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
14:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
14:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
15:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
16:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
17:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
18:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
18:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
18:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
18:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
19:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
20:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
21:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
22:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
22:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
23:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Micro-Ônibus
00:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
00:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
00:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + Armazém;Ônibus
;;
Saída Alfândega;TRAJETO;Veículos
;;
05:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
06:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
07:40;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
07:40;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
07:45;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
07:55;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
08:40;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
09:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
10:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
11:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
12:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
13:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
14:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
14:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
15:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
16:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
17:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
18:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
19:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
20:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
21:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
22:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
22:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
23:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
00:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
00:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
00:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
;;
Saída Armazém;TRAJETO;Veículos
;;
17:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-ônibus
18:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-ônibus
Saída TERMINAL;TRAJETO;Veículos
;;
05:25;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
06:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
07:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
08:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
09:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
10:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
11:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
12:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
13:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
14:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
15:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
15:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
16:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
17:15;Armazém + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
17:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
18:15;Armazém + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
19:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
20:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
21:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
22:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
23:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
23:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
00:30;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
01:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:00;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:20;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:30;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
04:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
;;
Saída MUSEU Pelé;TRAJETO;Veículos
;;
05:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
06:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
07:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
08:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
09:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
10:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
11:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
12:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
13:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
14:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
14:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
16:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
17:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
18:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
20:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
21:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
22:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
23:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
00:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
00:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
00:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
;;
Saída Alfândega;TRAJETO;Veículos
;;
05:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
06:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
06:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
07:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
08:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
09:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
10:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
11:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
12:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
13:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
14:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
14:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
16:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
17:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
18:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
20:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
21:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
22:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
23:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
00:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
00:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
00:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
;;
Saída Armazém;TRAJETO;Veículos
;;
17:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-ônibus
18:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-ônibus
Saída TERMINAL;TRAJETO;Veículos
;;
07:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
08:20;SUPERVISOR _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
13:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
14:20;SUPERVISOR _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
15:40;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
17:40;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
20:20;SUPERVISOR _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
23:40;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
02:20;SUPERVISOR _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:30;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
04:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
;;
Saída MUSEU Pelé;TRAJETO;Veículos
;;
05:30;SUPERVISOR_MUSEU PELE + ALFANDEGA + PORTARIA LEVE;Van
06:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
11:30;SUPERVISOR_MUSEU PELE + ALFANDEGA + PORTARIA LEVE;Van
12:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
14:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
17:30;SUPERVISOR_MUSEU PELE + ALFANDEGA + PORTARIA LEVE;Van
18:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
22:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
23:30;SUPERVISOR_MUSEU PELE + ALFANDEGA + PORTARIA LEVE;Van
00:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
00:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
00:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
;;
Saída Alfândega;TRAJETO;Veículos
;;
05:25;SUPERVISOR_ALFANDEGA + PORTARIA LEVE;Van
06:25;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:30;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:35;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
11:35;SUPERVISOR_ALFANDEGA + PORTARIA LEVE;Van
12:25;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:30;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:35;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
14:25;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
17:35;SUPERVISOR_ALFANDEGA + PORTARIA LEVE;Van
18:25;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:30;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
18:35;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
22:25;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
23:35;SUPERVISOR_ALFANDEGA + PORTARIA LEVE;Van
00:25;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
00:30;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
00:35;ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
;;
Saída Armazém;TRAJETO;Veículos
